sentence                                     ,tense
I have been writing poetry for years. ,present perfect continuous
They were dancing at the wedding when I arrived. ,past continuous
He teaches history at the local school. ,present
I will have dinner in an hour. ,future
She has been cooking for hours. ,present perfect continuous
I will be asleep when you call. ,future continuous
She had already left when I got to her house. ,past perfect
I am reading a mystery novel at the moment. ,present continuous
We will be skiing in the mountains next weekend. ,future continuous
She will have completed her degree by the end of the month. ,future perfect
They were swimming in the pool when it started thundering. ,past continuous
I am currently editing a document for a client. ,present continuous
I will be traveling to Europe in the spring. ,future continuous
I had finished my work by the end of the day. ,past perfect
She will be presenting her research in Europe next month. ,future continuous
He has been studying physics for years. ,present perfect continuous
I am savoring a delicious meal right now. ,present
She is going to the gym later today. ,future
They played tennis at the court yesterday. ,past
I will be going to a party tonight. ,future
She is having breakfast at the moment. ,present continuous
He watched a movie last night. ,past
We are planning a family vacation to the beach. ,present
The sun will set in the evening. ,future
He used to work in finance. ,past
She will be hiking in the mountains next summer. ,future continuous
I have been learning the piano for years. ,present perfect continuous
They were swimming at the beach when the tide came in. ,past continuous
I am currently researching a new project. ,present continuous
I will be traveling to Asia in the autumn. ,future continuous
I had finished all my chores before dinner. ,past perfect
She will be giving a presentation at the conference next month. ,future continuous
He has been practicing martial arts for years. ,present perfect continuous
I am trying a new recipe right now. ,present
She is heading to the gym later in the day. ,future
They played soccer at the field yesterday. ,past
I will have completed my work by the end of the week. ,future perfect
She is enjoying a cup of coffee at the moment. ,present
We will be exploring a new city this weekend. ,future continuous
She will have her master's degree by the end of the year. ,future perfect
They were having a barbecue when it began to rain. ,past continuous
I am currently building a new website for a client. ,present continuous
I will be traveling to Europe in the winter. ,future continuous
I had completed my work before lunch. ,past perfect
She will be attending a seminar next month. ,future continuous
He has been sculpting for years. ,present perfect continuous
I am watching a thrilling movie right now. ,present
She is going to the gym later this evening. ,future
They were playing board games last night. ,past
I will be going shopping this weekend. ,future
She is having lunch with her friends at the moment. ,present continuous
He watched a documentary about wildlife last night. ,past
We are planning a hiking trip to the mountains. ,present
The sun will rise in the morning. ,future
He used to live on a farm. ,past
She will be volunteering in the community next summer. ,future continuous
I have been composing music for years. ,present perfect continuous
They were dancing at the party when I arrived. ,past continuous
He teaches mathematics at the local college. ,present
I will have lunch with my colleagues in an hour. ,future
She has been painting a mural for days. ,present perfect continuous
I will be asleep when you get home. ,future continuous
She had already left when I got to her apartment. ,past perfect
I am reading a history book at the moment. ,present continuous
We will be swimming in the lake next weekend. ,future continuous
She is working on a new project. ,present continuous
I will travel to Italy next summer. ,future
They watched a thrilling movie last night. ,past
I am going to the gym this evening. ,future
The sun rises in the morning. ,present
He used to be a professional athlete. ,past
She will be swimming in the pool tomorrow. ,future continuous
I have been practicing the piano for years. ,present perfect continuous
They were playing chess when I arrived. ,past continuous
He teaches mathematics at the local school. ,present
I will have breakfast in a few minutes. ,future
She has been painting her room for hours. ,present perfect continuous
I will be asleep by the time you come over. ,future continuous
She had already left when I reached her house. ,past perfect
I am currently reading a captivating novel. ,present continuous
We will be hiking in the mountains next weekend. ,future continuous
She will have completed her research by the end of the month. ,future perfect
They were dancing at the wedding when it started raining. ,past continuous
I am writing an article for the magazine. ,present continuous
I will be vacationing in Hawaii next spring. ,future continuous
I had finished my work before lunchtime. ,past perfect
She will be presenting her findings at the conference next week. ,future continuous
He has been playing the guitar for a decade. ,present perfect continuous
I am eating lunch right now. ,present
She will be visiting her grandparents later today. ,future
They played soccer on Saturday. ,past
I will have saved enough money for a new car by next year. ,future perfect
I am meeting my friends for dinner tonight. ,present continuous
We will explore the city on Sunday. ,future
The sun sets in the evening. ,future
I used to work as an engineer. ,past
She will travel to Australia next year. ,future
He reads a book before going to bed. ,present
They had a picnic in the park last summer. ,past
I am taking a break at the moment. ,present
She will call you later in the day. ,future
He wrote a letter to his friend last week. ,past
We will have a picnic in the park on Saturday. ,future
The train leaves the station at 9 AM. ,present
I will have lunch in an hour. ,future
She danced all night at the party. ,past
I study history every evening. ,present
They will arrive at the airport in two hours. ,future
He prepared a delicious meal for us yesterday. ,past
She has been reading a book for hours. ,present perfect continuous
I will have completed my work by the end of the week. ,future perfect
They had already left when I arrived at the party. ,past perfect
We are going to have a barbecue in the garden. ,future
He will be playing soccer this afternoon. ,future continuous
I had never seen that movie before. ,past perfect
The conference commences in an hour. ,future
I am heading to the gym later today. ,future
She will have been working for five years by December. ,future perfect continuous
The children are playing in the park. ,present continuous
They were talking on the phone when I called. ,past continuous
I will go shopping after work. ,future
She has learned French for years. ,present perfect
He will have written the report by the end of the day. ,future perfect
We were watching a movie when the power went out. ,past continuous
I am currently researching a new project. ,present continuous
She will be moving to a new city next month. ,future continuous
He has been learning Spanish for a year. ,present perfect continuous
I am reading an interesting book about science. ,present continuous
I will have saved enough money by the end of the year. ,future perfect
I am eating breakfast. ,present
She will go to the beach. ,future
They played basketball yesterday. ,past
I will be going to the concert. ,future
She is eating lunch now. ,present continuous
He watched a movie last night. ,past
We are going to the zoo this weekend. ,future
The sun sets in the west. ,present
I used to play the piano. ,past
She will travel to Europe next year. ,future
He reads a novel every night. ,present
They had a picnic by the lake last summer. ,past
I am taking a break right now. ,present
She will call you later in the evening. ,future
He wrote a poem yesterday. ,past
We will visit the museum tomorrow. ,future
The train departs at 9 AM. ,present
I will have lunch in an hour. ,future
She danced all night at the party. ,past
I study math every evening. ,present
They will arrive in two hours. ,future
He cooked a delicious meal for his family yesterday. ,past
She has been practicing the violin for hours. ,present perfect continuous
I will have finished my work by the end of the day. ,future perfect
They had already left when I arrived at the restaurant. ,past perfect
I am writing an essay for my class. ,present continuous
She will be traveling to Asia next summer. ,future continuous
I had completed my work before dinner. ,past perfect
They will be attending a conference next month. ,future continuous
She has been playing the flute for an hour. ,present perfect continuous
I am meeting my friends for a picnic. ,present continuous
I will have completed the project by the end of the month. ,future perfect
They were singing when I entered the room. ,past continuous
She is going to the gym later in the day. ,future
I will have been working at this company for 10 years by June. ,future perfect continuous
She is gardening in the backyard. ,present continuous
They will explore ancient ruins in Greece. ,future
He fixed the broken window yesterday. ,past
I am planning to go shopping this afternoon. ,future
The sun shines brightly in the morning. ,present
She used to visit her grandparents every summer. ,past
They will be traveling to Africa next year. ,future continuous
I have been studying Spanish for a while. ,present perfect continuous
We were playing board games when the power went out. ,past continuous
He teaches math at the local high school. ,present
I will have a meeting in an hour. ,future
She has been baking cookies all day. ,present perfect continuous
I will be napping by the time you arrive. ,future continuous
She had already left when I reached her house. ,past perfect
I am currently reading a mystery novel. ,present continuous
They will be hiking in the mountains next weekend. ,future continuous
She will have completed her degree by the end of the month. ,future perfect
They were fishing at the lake when it started raining. ,past continuous
I am writing an article for the magazine. ,present continuous
I will be traveling to Asia next month. ,future continuous
I had finished my homework before dinner. ,past perfect
She will be attending a medical conference next week. ,future continuous
He has been practicing the piano for years. ,present perfect continuous
I am enjoying a cup of coffee at the moment. ,present
She will be cycling to work later today. ,future
They played soccer last weekend. ,past
I will have saved enough money for a new house by next year. ,future perfect
I am dining with friends tonight. ,present continuous
We will be sailing to a remote island this weekend. ,future
The sun will set in a few hours. ,future
She used to be a professional chef. ,past
I will travel to South America next year. ,future
He reads the newspaper every morning. ,present
They had a picnic at the park last summer. ,past
I am resting now. ,present
She will call you later in the evening. ,future
He wrote a poem last week. ,past
We will visit the museum next Sunday. ,future
The bus arrives at 9 AM. ,present
I will have dinner in an hour. ,future
She danced all night at the party. ,past
I study history every evening. ,present
They will arrive at the airport in three hours. ,future
He cooked a delicious meal last night. ,past
She has been playing the violin for hours. ,present perfect continuous
I will have finished my work by the end of the week. ,future perfect
They had already left when I reached the party. ,past perfect
We are going to have a picnic in the park. ,future
He will be playing tennis this evening. ,future continuous
I had never seen that movie before. ,past perfect
She is going to a conference later today. ,future
I will have been working at this company for 10 years by next summer. ,future perfect continuous
The birds are singing in the garden. ,present continuous
He will be giving a speech tomorrow. ,future continuous
I had visited that museum in the past. ,past perfect
She will have painted her room by the end of the week. ,future perfect
They were skiing in the mountains when it started snowing. ,past continuous
I am writing a report for the client. ,present continuous
I will be moving to a new city next month. ,future continuous
She has been learning French for a year. ,present perfect continuous
I am reading a fascinating book about space. ,present continuous
I will have saved enough money by the end of the year. ,future perfect
She is swimming in the pool right now. ,present
They will go to the beach tomorrow. ,future
He played the piano at the concert last night. ,past
I am going to the gym later this evening. ,future
She is having lunch at the moment. ,present continuous
We used to live in a small town. ,past
They will travel to Europe next summer. ,future
He reads novels every day. ,present
I am having a cup of tea now. ,present continuous
She will be visiting her parents next week. ,future continuous
They were having a barbecue when it started raining. ,past continuous
I am currently studying for an exam. ,present continuous
I will have finished the project by the end of the day. ,future perfect
She will be painting the living room later. ,future continuous
He had completed all the tasks by the time I arrived. ,past perfect
I am driving to the store right now. ,present
She will go to the park later. ,future
They will be climbing a mountain next weekend. ,future continuous
I have been working on this novel for months. ,present perfect continuous
We were fishing by the lake when the rain started. ,past continuous
He teaches art at the local school. ,present
I am going to have a meeting in an hour. ,future
She had just left for work when I arrived. ,past perfect
They are traveling to Asia next year. ,future
I will be writing a song this evening. ,future continuous
She has been playing tennis for an hour. ,present perfect continuous
I am watching a documentary about wildlife. ,present continuous
I will have earned my degree by the end of the year. ,future perfect
She is jogging in the park right now. ,present continuous
They will be skiing in the mountains next week. ,future continuous
I have been studying Spanish for years. ,present perfect continuous
I am eating a delicious meal at the moment. ,present
She will be attending a conference in New York. ,future continuous
He had visited that museum in the past. ,past perfect
We are going to have a picnic in the park this weekend. ,future
I will have saved enough money for a vacation by next year. ,future perfect
She is drawing a beautiful picture. ,present continuous
They will be sailing to the Caribbean next summer. ,future continuous
I am currently working on a research project. ,present continuous
She will visit her cousin in Paris next month. ,future
They watched a thrilling movie last weekend. ,past
I will be attending a conference next week. ,future
She is enjoying a cup of coffee right now. ,present continuous
He used to play the piano when he was young. ,past
We will explore the ancient ruins in Greece next summer. ,future continuous
I have been practicing yoga for a while now. ,present perfect continuous
They were talking on the phone when I called them. ,past continuous
He teaches history at a prestigious university. ,present
I will have dessert in a little while. ,future
She has been baking cookies all day. ,present perfect continuous
I will be fast asleep by midnight. ,future continuous
She had already left when I reached her house. ,past perfect
I am reading a novel by a famous author. ,present continuous
We will be hiking in the mountains next month. ,future continuous
She will have completed her degree by the end of the year. ,future perfect
They were fishing by the lake when it started raining. ,past continuous
I am currently designing a new website for a client. ,present continuous
I will be flying to Japan in a few weeks. ,future continuous
I had finished my chores before lunch. ,past perfect
She will be giving a presentation at a conference next month. ,future continuous
He has been sculpting beautiful artwork for years. ,present perfect continuous
I am having lunch at the moment. ,present
She will be heading to the gym later today. ,future
They played baseball yesterday afternoon. ,past
I will have saved enough money for a vacation by next year. ,future perfect
I am meeting my colleagues for a discussion this afternoon. ,present continuous
We will visit the art gallery this weekend. ,future
The sun will rise in the morning. ,future
I used to live in a small village. ,past
She will be traveling to South America next year. ,future continuous
He reads the newspaper every morning. ,present
They had a picnic in the park last spring. ,past
I am taking a nap right now. ,present
She will call you later in the evening. ,future
He wrote a poem yesterday. ,past
We will tour the historical museum on Saturday. ,future
The train arrives at 10 AM. ,present
I will have dinner in an hour. ,future
She danced all night at the party. ,past
I study biology every evening. ,present
They will reach the summit in a few hours. ,future
He cooked a delicious dinner for us yesterday. ,past
She has been singing her favorite songs for hours. ,present perfect continuous
I will have finished my work by the end of the day. ,future perfect
They had already departed when I reached the airport. ,past perfect
I am going to have coffee right now. ,future
He will be playing the guitar at the concert tonight. ,future continuous
I had never been to that city before. ,past perfect
She will have painted her room by the end of the week. ,future perfect
They were playing soccer when it started raining. ,past continuous
I am creating a presentation for the meeting. ,present continuous
I will be moving to a new city next month. ,future continuous
She has been studying art for a year. ,present perfect continuous
I am reading an exciting mystery novel. ,present continuous
I will have saved enough money by the end of the year. ,future perfect
I am eating a sandwich for lunch. ,present
She will go to the beach. ,future
They played chess yesterday. ,past
I will be watching a movie later. ,future
She is having dinner now. ,present continuous
He watched the football game last night. ,past
We are planning a trip to the countryside this weekend. ,present
The sun will shine brightly in the afternoon. ,future
He used to write poetry in his free time. ,past
She will be sailing around the world next summer. ,future continuous
I have been composing music for weeks. ,present perfect continuous
They were hiking in the forest when it started raining. ,past continuous
He teaches English at the language school. ,present
I will have lunch in 30 minutes. ,future
She has been painting her bedroom all day. ,present perfect continuous
I will be asleep by the time you get back. ,future continuous
She had already left when I arrived at her place. ,past perfect
I am reading a novel about science. ,present continuous
We will be hiking in the mountains next summer. ,future continuous
She will have completed her dissertation by the end of the year. ,future perfect
They were swimming in the pool when it started raining. ,past continuous
I am currently editing a document for a client. ,present continuous
I will be traveling to Italy in the spring. ,future continuous
I had finished my work before dinner was served. ,past perfect
She will be giving a speech at a conference next month. ,future continuous
He has been playing the violin for years. ,present perfect continuous
I am having breakfast right now. ,present
She will be heading to the gym later today. ,future
They played soccer last weekend. ,past
I will have saved enough money for a new car by next year. ,future perfect
I am meeting my friends for a party this evening. ,present continuous
We will visit the art museum on Sunday. ,future
The sun will set in the evening. ,future
I used to work in that company. ,past
She will be traveling to the Caribbean next year. ,future continuous
He reads a book before bedtime every night. ,present
They had a picnic in the park last summer. ,past
I am taking a break at the moment. ,present
She will call you later tonight. ,future
He wrote a story last week. ,past
We will explore the rainforest this weekend. ,future
The train departs at 9 AM every day. ,present
I will have lunch in an hour. ,future
He is working on a new project at the moment. ,present continuous
She will visit her uncle next weekend. ,future
They enjoyed the concert last night. ,past
I am going to the movies this evening. ,future
The sun rises in the east. ,present
He used to be a professional athlete. ,past
She will be traveling to Australia next summer. ,future continuous
I have been writing a novel for months. ,present perfect continuous
They were hiking in the mountains when I called. ,past continuous
He teaches mathematics at the local school. ,present
I will have dinner in an hour. ,future
She has been redecorating her house all day. ,present perfect continuous
I will be asleep by the time you get home. ,future continuous
She had already left when I arrived at her house. ,past perfect
I am reading a novel by my favorite author. ,present continuous
We will be camping in the mountains next weekend. ,future continuous
She will have completed her thesis by the end of the month. ,future perfect
They were swimming in the pool when it started raining. ,past continuous
I am currently editing a report for work. ,present continuous
I will be traveling to Europe in the spring. ,future continuous
I had finished my work before lunchtime. ,past perfect
She will be presenting a paper at a conference next month. ,future continuous
He has been playing the guitar for years. ,present perfect continuous
I am eating lunch right now. ,present
She will be going to the gym later today. ,future
They played soccer yesterday afternoon. ,past
I will have saved enough money for a new car by next year. ,future perfect
I am meeting my friends for coffee this afternoon. ,present continuous
We will explore the city tomorrow. ,future
The sun will set in the evening. ,future
I used to live in that old house. ,past
She will travel to Asia next year. ,future
He reads a book every evening. ,present
They had a picnic in the park last summer. ,past
I am taking a break right now. ,present
She will call you later in the day. ,future
He wrote a letter yesterday. ,past
We will visit the museum on Sunday. ,future
The train departs at 9 AM. ,present
I will have lunch in an hour. ,future
She danced all night at the party. ,past
I study Spanish every evening. ,present
They will arrive at the airport in two hours. ,future
He cooked a delicious meal for us yesterday. ,past
She has been painting the living room for hours. ,present perfect continuous
I will have finished my work by the end of the week. ,future perfect
They had already left when I arrived at the party. ,past perfect
We are going to have a picnic in the park. ,future
He will be playing soccer this evening. ,future continuous
I had never seen that movie before. ,past perfect
The conference starts in an hour. ,future
I am going to the gym later today. ,future
She will have been working for five years by December. ,future perfect continuous
The children are playing in the yard. ,present continuous
They were having a conversation when I called. ,past continuous
I will go shopping after work. ,future
She has learned French for years. ,present perfect
He will have written the report by the end of the day. ,future perfect
We were watching a movie when the power went out. ,past continuous
I am currently reading a novel about history. ,present continuous
She will be traveling to Europe next summer. ,future continuous
I had completed my homework before dinner. ,past perfect
They will be attending a conference next month. ,future continuous
She has been running for an hour. ,present perfect continuous
I am meeting my friends for lunch. ,present continuous
I will have completed the project by the end of the month. ,future perfect
They were singing when I entered the room. ,past continuous
She is going to the gym later in the day. ,future
I will have been working at this company for 10 years by June. ,future perfect continuous
The birds are chirping in the garden. ,present continuous
He will be giving a presentation tomorrow. ,future continuous
I had visited that museum before. ,past perfect
She will have painted the room by the end of the week. ,future perfect
They were playing football when it started raining. ,past continuous
I am working on a project for the client. ,present continuous
I will be moving to a new apartment next month. ,future continuous
She has been learning Spanish for a year. ,present perfect continuous
I am reading a fascinating book about wildlife. ,present continuous
I will have saved enough money by the end of the year. ,future perfect
I am eating breakfast. ,present
She will go to the park. ,future
They played basketball yesterday. ,past
I will be going to the concert. ,future
She is eating lunch now. ,present continuous
He watched a movie last night. ,past
We are going to the beach this weekend. ,future
The sun rises in the east. ,present
I used to work as a teacher. ,past
She will travel to Japan next year. ,future
He reads books every day. ,present
They had a picnic in the park last summer. ,past
I am taking a break now. ,present
She will call you later. ,future
He wrote a letter yesterday. ,past
We will visit the museum on Sunday. ,future
The train departs at 9 AM. ,present
I will have lunch in an hour. ,future
She danced all night at the party. ,past
I study French every evening. ,present
They will arrive at the airport in two hours. ,future
The movie starts in 30 minutes. ,future
I have never been to Paris. ,present perfect
She will be cooking dinner when we arrive. ,future continuous
They went to the beach last summer. ,past
I am taking a shower right now. ,present continuous
He used to work for that company. ,past
We are planning a road trip for next month. ,present
The sun will rise in the morning. ,future
She has been studying for hours. ,present perfect continuous
I will have completed my homework by midnight. ,future perfect
They were playing basketball when it started raining. ,past continuous
I am going to read a new book later. ,future
She will have finished her degree by the end of the year. ,future perfect
The kids are building a sandcastle on the beach. ,present continuous
He was watching a documentary about space. ,past continuous
I will be traveling to Europe for a month. ,future continuous
She had already left when I called. ,past perfect
We are having a picnic in the park tomorrow. ,future
The sun sets in the west. ,present
I am attending a conference next week. ,present continuous
They were skiing in the mountains last winter. ,past
She will visit her grandparents during the holidays. ,future
I have been working on this project for months. ,present perfect continuous
I will go shopping after work. ,future
He will have graduated from college next spring. ,future perfect
They had been traveling for days when they arrived. ,past perfect continuous
I am writing a research paper for my class. ,present continuous
We will be exploring the rainforest next year. ,future continuous
She will have painted her house by the end of the month. ,future perfect
The flowers are blooming in the garden. ,present continuous
I am taking a break from work. ,present continuous
He used to play the guitar. ,past
She will be going to the gym this afternoon. ,future continuous
They were hiking in the mountains when they found a hidden waterfall. ,past continuous
I am currently reading a science fiction novel. ,present continuous
We will have our family reunion in two weeks. ,future
The sun will set in the evening. ,future
I have been living in this city for a decade. ,present perfect continuous
I am enjoying my vacation on the beach. ,present continuous
I will have achieved my career goals by the end of the decade. ,future perfect
They were dancing at the party when the music suddenly stopped. ,past continuous
She will be traveling to Asia next summer. ,future continuous
I had visited that museum before it closed down. ,past perfect
I am going to the gym later in the day. ,future
They will have been married for ten years by their next anniversary. ,future perfect continuous
The kids are playing in the yard. ,present continuous
They were talking on the phone when I called. ,past continuous
I will go to the store after lunch. ,future
She has studied English for years. ,present perfect
He will have written the report by the end of the week. ,future perfect
We were watching a movie when the power went out. ,past continuous
I am currently researching a new topic for my thesis. ,present continuous
She will be traveling to Europe next summer. ,future continuous
I had completed my work before the deadline. ,past perfect
I am having lunch at the moment. ,present continuous
We will be moving to a new apartment next month. ,future continuous
She has been practicing yoga for a decade. ,present perfect continuous
I am learning to play the piano. ,present continuous
I will have finished reading the book by tomorrow. ,future perfect
He will be traveling to Asia next spring. ,future continuous
I had just started cooking when the doorbell rang. ,past perfect
The company has opened a new branch in the city. ,present perfect
He will have graduated from college by the end of the year. ,future perfect
I am writing a research paper for my class. ,present continuous
They will be moving to a new city next month. ,future continuous
I will go shopping after work. ,future
I am watching a documentary about wildlife conservation. ,present continuous
I will have saved enough money for a car by next year. ,future perfect
He had been traveling for weeks when he finally returned home. ,past perfect continuous
She is participating in a marathon. ,present continuous
We will have our family reunion next week. ,future
The sun will rise in a few hours. ,future
I am currently studying for exams. ,present continuous
They will have completed the construction by the end of the month. ,future perfect
She will be presenting her research at the conference tomorrow. ,future continuous
I had lived in that city before. ,past perfect
I will have traveled to five countries by the end of the year. ,future perfect
The baby is sleeping peacefully. ,present continuous
I am going to the doctor this afternoon. ,future
She will have painted her house by the end of the summer. ,future perfect
They were hiking in the mountains when they found the treasure. ,past continuous
I am learning to play the guitar. ,present continuous
I will be visiting my grandparents next weekend. ,future continuous
She has been practicing yoga for years. ,present perfect continuous
I am currently working on a new project. ,present continuous
I will have finished reading the novel by tomorrow. ,future continuous
They will have adopted a puppy by the end of the month. ,future perfect
The flowers are blooming in the garden. ,present continuous
I am going to the gym this evening. ,future
I will have been working at this company for 10 years by next summer. ,future perfect continuous
The kids are playing in the yard. ,present continuous
They were talking on the phone when I called. ,past continuous
I will go to the store after work. ,future
She has studied French for years. ,present perfect
I am currently studying for my Ph.D.                  ,present continuous
"By 2030, we will have colonized Mars.                  ",future perfect
She had completed her thesis before graduation.         ,past perfect
"In 2040, I will be traveling the world.                ",future continuous
They had been living in that house for 20 years.        ,past perfect continuous
I am writing a novel about time travel.                ,present continuous
"By the time I retire, I will have saved a million dollars. ",future perfect
"Last year, we explored the Amazon rainforest.           ",past
I will have been working at this company for a decade by next year. ,future perfect continuous
She has been playing the violin since she was a child.  ,present perfect continuous
"Next week, I am moving to a new apartment.             ",future
The sun rises in the east.                            ,present
"By 2050, we will have found a cure for cancer.         ",future perfect
She was dancing when the music suddenly stopped.       ,past continuous
I am currently developing a new software application.  ,present continuous
I am currently studying for my Ph.D. ,present continuous
"By 2030, we will have colonized Mars. ",future perfect
She had completed her thesis before graduation. ,past perfect
"In 2040, I will be traveling the world. ",future continuous
They had been living in that house for 20 years. ,past perfect continuous
I am writing a novel about time travel. ,present continuous
"By the time I retire, I will have saved a million dollars. ",future perfect
"Last year, we explored the Amazon rainforest. ",past
I will have been working at this company for a decade by next year. ,future perfect continuous
She has been playing the violin since she was a child. ,present perfect continuous
"Next week, I am moving to a new apartment. ",future
The sun rises in the east. ,present
"By 2050, we will have found a cure for cancer. ",future perfect
She was dancing when the music suddenly stopped. ,past continuous
I am currently developing a new software application. ,present continuous
"By the time I graduate, I will have studied abroad for a year. ",future perfect
"In the 19th century, the Industrial Revolution transformed society. ",past
They will be skiing in the Alps this winter. ,future continuous
I had completed my master's degree by the age of 25. ,past perfect
She will have been working on this project for two years by the end of the month. ,future perfect continuous
I am teaching English to non-native speakers. ,present continuous
"By next summer, I will have visited five different countries. ",future perfect
They were hiking in the mountains when they found a hidden waterfall. ,past continuous
I will be pursuing a Ph.D. in astrophysics. ,future
The sun will set in a few hours. ,future
I am conducting research on climate change. ,present continuous
"By 2025, we will have reduced carbon emissions by 50%. ",future perfect
She had been studying for hours when she finally passed the exam. ,past perfect continuous
I am attending a conference next week. ,present continuous
"By the time I turn 30, I will have run ten marathons. ",future perfect
They will have completed the construction of the new building by the end of the year. ,future perfect
"In the 17th century, scientists made significant discoveries in physics. ",past
I am currently renovating my house. ,present continuous
"By next month, we will have launched our new product. ",future perfect
She will be traveling to Asia next summer. ,future continuous
I had just started my new job when the pandemic hit. ,past perfect
I am painting a mural in the city center. ,present continuous
"By 2035, we will have achieved gender equality. ",future perfect
They were playing football when the thunderstorm began. ,past continuous
I will be applying for a scholarship next week. ,future continuous
"In the 20th century, technology revolutionized our lives. ",past
She will have played the piano for ten years by the end of the month. ,future perfect
I am researching sustainable energy solutions. ,present continuous
"By the time I retire, I will have lived in five different countries. ",future perfect
They had been sailing for days when they reached the island. ,past perfect continuous
I will have earned my Ph.D. by the time I'm 30. ,future perfect
"In the 18th century, philosophers questioned traditional beliefs. ",past
She is starting her own business. ,present continuous
"By 2040, we will have achieved world peace. ",future perfect
They will be celebrating their 50th anniversary next year. ,future continuous
I had completed my first novel by the age of 35. ,past perfect
She will have been managing the company for five years by the end of the month. ,future perfect continuous
I am running a marathon next month. ,present continuous
"By the end of the decade, we will have established a colony on the moon. ",future perfect
They were competing in the tournament when the rain started. ,past continuous
I will be presenting my research at an international conference next week.,future continuous
"In the 19th century, the steam engine powered the Industrial Revolution. ",past
She is creating a sculpture for an art exhibition. ,present continuous
"By 2030, we will have eliminated poverty worldwide. ",future perfect
I had visited that museum before it closed for renovations. ,past perfect
I am running a marathon to raise money for charity. ,present continuous
"By next year, we will have developed a vaccine for the new virus. ",future perfect
She will be launching her own fashion line next season. ,future continuous
I will have completed my MBA by the time I'm 27. ,future perfect
"In the 21st century, technology has continued to advance at a rapid pace. ",present perfect
They will be studying abroad in Europe next semester. ,future continuous
I had already graduated from college when I decided to pursue a second degree. ,past perfect
I am traveling to Antarctica to study climate change. ,present continuous
"By 2045, we will have discovered life on other planets. ",future perfect
She will have been teaching at the university for 20 years by the end of the year. ,future perfect continuous
"In the 16th century, explorers set sail to discover new lands. ",past
I am designing a sustainable eco-friendly building. ,present continuous
"By 2050, we will have harnessed renewable energy sources for all our needs. ",future perfect
They will be conducting research in the Amazon rainforest next summer. ,future continuous
I am taking a break from work to travel the world. ,present continuous
"By the time I retire, I will have explored every continent. ",future perfect
She had been managing the project for several months when it was finally completed. ,past perfect continuous
I am creating an innovative mobile app. ,present continuous
"By 2035, we will have eradicated several deadly diseases. ",future perfect
They will be hiking in the Himalayas next year. ,future continuous
I will have published my first novel by the time I'm 35. ,future perfect
"In the 22nd century, humanity will have colonized other planets. ",future perfect
She will have been running her own business for a decade by the end of the year. ,future perfect continuous
I am building a sustainable eco-village. ,present continuous
"By 2040, we will have achieved sustainable living for all. ",future perfect
They will be teaching English in a foreign country next semester. ,future continuous
I had just launched my startup when the economy crashed. ,past perfect
I am designing a groundbreaking transportation system. ,present continuous
"By 2050, we will have achieved global food security. ",future perfect
She will have been managing the team for five years by the end of the month. ,future perfect continuous
I am planting a forest to combat deforestation. ,present continuous
"By 2045, we will have reversed the effects of climate change. ",future perfect
They will be performing in a world-class orchestra next year. ,future continuous
I had already finished my Ph.D. when I decided to pursue postdoctoral research. ,past perfect
I am pioneering research in artificial intelligence. ,present continuous
"By 2050, we will have established a colony on Mars. ",future perfect
She will have been leading the research team for ten years by the end of the month. ,future perfect continuous
I am creating a new field of study in theoretical physics. ,present continuous
"By 2030, we will have developed a cure for all major diseases. ",future perfect
They will be volunteering in underserved communities around the world next year. ,future continuous
"In 2009, the popurlation in Vietnam reached 95 million individuals.",past
The current political climate in the region is very unstable,present
"By 2030, we will have encountered numerous environmental challenges",future perfect
Archaeologists had unearthed ancient artifacts at the site,past perfect
"In the coming years, renewable energy sources will gain prominence",future
The scientists are conducting an extensive research project,present continuous
"By the time I retire, I will have amassed a substantial fortune",future perfect
The discovery of the ancient civilization amazed historians,past
We will be exploring uncharted territories in the Amazon rainforest,future continuous
The architect had envisioned a unique design for the building,past perfect
I am currently analyzing data for my research project,present continuous
"By 2040, we will have achieved sustainable urban development",future perfect
The team had been working tirelessly for months on the project,past perfect continuous
The intricate details of the painting captivated art enthusiasts,present
"In the 19th century, the industrial revolution transformed society",past
She will be implementing an innovative solution to the problem,future continuous
"By the time I graduate, I will have published several research papers",future perfect
The lecture on quantum physics was mind-boggling,past
We are currently addressing the issue of climate change,present continuous
"By 2050, we will have mitigated the effects of global warming",future perfect
The research team had been deciphering ancient manuscripts for years,past perfect continuous
The protagonist's plight in the novel was heart-wrenching,past
I will be conducting fieldwork for my anthropology thesis,future continuous
"By 2035, we will have eradicated several contagious diseases",future perfect
The intricacies of the legal system are challenging to comprehend,present
I am presently formulating a strategic business plan,present continuous
"By next year, we will have launched an innovative startup",future perfect
The recent advancements in technology have reshaped our lives,present perfect
She will be developing cutting-edge technology in the upcoming year,future continuous
"By 2045, we will have achieved sustainable living for all",future perfect
The symposium on artificial intelligence was intellectually stimulating,past
We are currently addressing the issue of air pollution,present continuous
"By 2050, we will have secured access to clean drinking water for all",future perfect
The researcher had been collecting data in the field for weeks,past perfect continuous
The ongoing debate about genetic engineering is thought-provoking,present
I will be implementing an ambitious project in the upcoming year,future continuous
"By the time I retire, I will have explored various career options",future perfect
The recent breakthroughs in medical science are revolutionary,present perfect
She will have been overseeing the construction project for a decade by the end of the year,future perfect continuous
The subtleties of the poem require careful analysis,present
